大項名稱,大項代號,中項名稱,中項代號,中項圖片,商品小項名稱,商品小項價格,商品小項圖片,商品分類名稱,商品分類代號,商品小小項名稱,商品小小項價格,商品小小項圖片,商品小小項分類名稱,商品小小項分類代號
擴散式卡殼,spread-slab,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sar,835,Photoroom_20250406_221052 15.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 15.jpg,PSA-黑殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sar,835,Photoroom_20250406_221052 15.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 15.jpg,PSA-金殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sar,835,Photoroom_20250406_221052 15.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 15.jpg,PSA-銀殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sar,835,Photoroom_20250406_221052 15.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sar,835,Photoroom_20250406_221052 15.jpg,TAG(告知黑/金/銀),,TAG(告知黑/金/銀),835,tagexample.jpg,TAG(告知黑/金/銀),
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X sar,835,Photoroom_20250406_221052 15.jpg,CGC(告知黑/金/銀),,CGC(告知黑/金/銀),835,CGCexample.jpg,CGC(告知黑/金/銀),
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X mur,835,Photoroom_20250406_221052 6.jpg,PSA-黑殼,,PSA-黑殼,835,Photoroom_20250406_221052 6.jpg,PSA-黑殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X mur,835,Photoroom_20250406_221052 6.jpg,PSA-金殼,,PSA-金殼,835,Photoroom_20250406_221052 6.jpg,PSA-金殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X mur,835,Photoroom_20250406_221052 6.jpg,PSA-銀殼,,PSA-銀殼,835,Photoroom_20250406_221052 6.jpg,PSA-銀殼,
擴散式卡殼,,M2-烈獄狂火X,,M2-烈獄狂火X.jpg,超級噴火龍X mur,835,Photoroom_20250406_221052 6.jpg,BGS(告知黑/金/銀),,BGS(告知黑/金/銀),835,BGSexample.jpg,BGS(告知黑/金/銀),
